Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
560.55,0.0008172373,0.0006197254,0.0001417985,0.000197188,0.0001247377,0.0024152055,0.0061373428,0.0047072438,0.0037015424,0.003174295
562.12,0.0002280965,0.0001153182,0.0001191711,0.0001679457,7.56116e-05,0.0002466622,0.0008270957,0.001378679,0.0004161529,0.0004560641
563.69,0.0001277341,0.0001725372,0.0001513523,0.000373037,8.20193e-05,0.0003543598,0.0005102689,0.0002520166,0.0004150966,0.0004167929
565.27,0.000321942,0.0002526437,0.0003218121,0.0002639711,0.000181126,0.0007941829,0.0001971018,0.0021991228,0.0006332072,0.0026104205
566.86,0.0003923261,0.0011531822,0.0002433704,0.0005714105,0.0003417471,0.000585736,0.0002310849,0.0011748421,0.0005344501,0.0008698932
568.52,0.0080433357,0.0108531172,0.0028329524,0.0027716966,0.005025819,0.0195168894,0.0176335548,0.0220491358,0.0236863855,0.0249779378
570.27,0.0018234689,0.0030396475,0.0007939708,0.0008472366,0.0015105224,0.0061561337,0.0050284491,0.0057750715,0.0066494678,0.0078375597
572.01,0.0007025373,0.0007684947,0.00014029,0.0002110188,0.0004152228,0.0007656952,0.0017645057,0.0018715938,0.0022518728,0.0017846147
573.62,0.0002763227,0.0004876816,6.73794e-05,0.0005026516,0.0002387958,0.0004578885,0.0006362677,0.0009325541,0.0013403502,0.0008476642
575.23,0.0002124556,0.0003635605,0.0004515426,0.0006832426,0.0005339799,0.0002431881,0.0001484799,0.0002047635,0.000295215,0.000362332
576.82,0.0008485191,0.0005255342,0.0013687072,0.000969343,0.000708271,0.0003821528,0.0009049954,0.0005656475,0.0004040063,0.0002378498
578.43,0.0005057226,0.0002702496,0.0009890695,0.000577338,0.0001994949,6.87875e-05,0.0002154004,0.0001839165,0.0003908034,0.0004916304
580.15,0.0004366419,0.0004269415,0.0002282855,0.0004888207,0.000155495,0.0006739785,0.0007800422,0.0006133639,0.0010007737,0.0008443299
581.83,0.0005317908,0.0003864481,0.0001412956,0.00024935,0.0001243105,0.0005968531,0.0008725807,0.0002812023,0.0005555746,0.000894345
583.42,0.0001186102,0.0001804598,0.0001966071,0.0001936315,8.41552e-05,0.0002827931,0.0006221516,0.0002575758,0.0005634963,0.0003430669
585.05,0.0001759602,0.0003160247,0.0001800137,0.0001572762,0.0001191843,0.0003189239,0.0004971985,0.0003205799,0.0004082312,0.0001685696
586.67,0.0001551056,0.0001109168,0.0001126342,7.23154e-05,0.0001730095,0.0004884607,0.0008077515,0.0011901298,0.0007340767,0.0007135495
588.35,0.0002554681,0.0002781722,0.0001035833,0.0001817765,0.0001251649,0.0007802865,0.0004715805,0.0015700078,0.000463683,0.0006357482
589.98,0.0005161499,0.0001355649,0.0003861745,0.0003841017,0.0001636114,0.0004342645,0.0002797068,0.0005434108,0.0003575323,0.0003778923
591.61,0.000121217,0.0001311635,0.0002192345,9.52351e-05,0.0001849706,0.0002952999,0.0006174463,0.0004590964,0.0004256589,0.0003456603
593.21,0.0003076045,0.0001778189,0.0001639231,0.0003003264,0.0001016698,0.000161199,0.0003518555,0.0011336114,0.0002909901,0.0007217001
594.93,0.0002893568,0.0016426244,0.0001473296,0.0005429585,0.0002759608,0.0022547013,0.0006577032,0.000690266,0.0012901795,0.0013978309
596.54,0.0001707466,0.0001496496,0.0001060974,0.0004089971,0.0001572037,0.0002014987,0.000945775,0.000535072,0.0007705165,0.0003612205
598.14,0.0008068101,0.0005924364,0.0005108767,0.0010760379,0.0004857081,0.0006781475,0.000786316,0.0004655821,0.0001895925,0.000681688
599.86,0.0001459818,9.85927e-05,0.00030723,0.0004003035,0.0001119222,0.0002827931,0.0003011423,0.0004493678,0.0001626587,0.0003330639
601.48,0.0002945704,0.0001663751,0.0002589582,0.0001331711,0.0002614366,0.0005079158,0.0005416379,0.0009256051,0.0010483038,0.0004986696
603.09,0.0010153555,0.0003054612,0.0010267818,0.0010428439,0.0006454749,0.0002167848,0.0001725294,0.0003701494,0.0002001547,0.0002293287
604.7,0.0003258522,0.0001487693,0.0001599004,0.0003995132,0.0002375143,0.0003543598,0.0001688697,0.0005939068,0.0001320282,0.0001807955
606.33,0.0014910997,0.0005801123,0.0013787638,0.0010290131,0.000994057,0.0003877114,0.0006692051,0.0002886146,0.0001388937,0.0002326631
607.95,0.0010023214,0.0012993106,0.000543058,0.0006401694,6.06601e-05,0.0036297565,0.0009447294,0.0012119033,0.0023548548,0.0019665217
609.56,0.0003623476,0.0002755313,0.0002695177,0.0003615772,0.0001204659,0.0011728616,0.0003800876,0.000841754,0.0007969222,0.0004405038
611.22,0.0003805954,0.0002852145,0.0001754882,0.0003746177,0.0003430287,0.0007365126,0.000652475,0.0004382494,0.0003501388,0.0007005826
612.86,0.0001942079,0.0001197197,0.0001317418,0.0001501632,7.47572e-05,0.0002827931,0.0003032336,0.0002974166,0.0001769178,0.0001129972
614.48,0.0001759602,0.0002059883,0.0001578891,0.0001383082,9.44076e-05,0.0001000545,0.0003680628,0.0002107859,0.0005296971,0.0001207773
